"subject","code"
"Aerospace Studies","AERO ST"
"African American Studies","AF AMER"
"African Studies","AFRC ST"
"American Indian Studies","AM IND"
"Anesthesiology","ANES"
"Anthropology","ANTHRO"
"African Languages (pre-15F)","AF LANG"
"Applied Linguistics","APPLING"
"Archaeology","ARCHEOL"
"Architecture and Urban Design","ARCH&UD"
"Art","ART"
"Art History","ART HIS"
"Arts and Architecture","ART&ARC"
"Asian American Studies","ASIA AM"
"Asian","ASIAN"
"Chinese","CHIN"
"Filipino","FILIPNO"
"Hindi-Urdu","HIN-URD"
"Indonesian","INDO"
"Japanese","JAPAN"
"Korean","KOREA"
"South Asian","S ASIAN"
"Southeast Asian","SEASIAN"
"Thai","THAI"
"Vietnamese","VIETMSE"
"Atmospheric and Oceanic Sciences","A&O SCI"
"Bioengineering","BIOENGR"
"Bioinformatics","BIOINFO"
"Biological Chemistry","BIOL CH"
"Biomathematics","BIOMATH"
"Biomedical Research","BMD RES"
"Biostatistics","BIOSTAT"
"Chemical Engineering","CH ENGR"
"Chemistry and Biochemistry","CHEM"
"Chicana and Chicano Studies","CHICANO"
"Civic Engagement (Pre-19F)","CIVIC"
"Civil and Environmental Engineering","C&EE"
"Classics","CLASSIC"
"Greek","GREEK"
"Latin","LATIN"
"Clusters","CLUSTER"
"Communication","COMM"
"Communication Studies (pre-17F)","COMM ST"
"Community Engagement and Social Change","CESC"
"Community Health Sciences","COM HLT"
"Comparative Literature","COM LIT"
"Computational and Systems Biology","C&S BIO"
"Biomathematics","BIOMATH"
"Bioinformatics (undergraduate)","BIOINFR"
"Computer Science","COM SCI"
"Conservation of Archaeological and Ethnographic Materials","CAEM"
"Dentistry","DENT"
"Oral Biology","ORL BIO"
"Design | Media Arts","DESMA"
"Digital Humanities","DGT HUM"
"Disability Studies","DIS STD"
"Earth, Planetary, and Space Sciences","EPS SCI"
"East Asian Studies","EA STDS"
"Ecology and Evolutionary Biology","EE BIOL"
"Economics","ECON"
"Education","EDUC"
"Electrical and Computer Engineering","EC ENGR"
"Electrical Engineering","EL ENGR"
"Engineering","ENGR"
"English","ENGL"
"Environment","ENVIRON"
"Environmental Health Sciences","ENV HLT"
"Epidemiology","EPIDEM"
"Ethnomusicology (pre-16F)","ETHNOMU"
"Ethnomusicology","ETHNMUS"
"Family Medicine","FAM MED"
"Film and Television","FILM TV"
"Food Studies","FOOD ST"
"French","FRNCH"
"Gender Studies","GENDER"
"General Education Clusters (pre-17F)","GE CLST"
"Geography","GEOG"
"Afrikaans","AFRKAAN"
"Dutch","DUTCH"
"German","GERMAN"
"Yiddish","YIDDSH"
"Gerontology","GRNTLGY"
"Global Health","GLB HLT"
"Global Jazz Studies","GJ STDS"
"Global Studies","GLBL ST"
"Graduate Student Professional Development","GRAD PD"
"Health Policy and Management","HLT POL"
"History","HIST"
"Honors Collegium","HNRS"
"Human Genetics","HUM GEN"
"Indo-European Studies","I E STD"
"Information Studies","INF STD"
"Physiological Science","PHYSCI"
"International and Area Studies","I A STD"
"International Development Studies","INTL DV"
"International Migration Studies","I M STD"
"Italian","ITALIAN"
"Labor and Workplace Studies (pre-20W)","LBR&WS"
"Labor Studies","LBR STD"
"Latin American Studies","LATN AM"
"Law (graduate)","LAW"
"Undergraduate Law","UG-LAW"
"Lesbian, Gay, Bisexual, and Transgender Studies (pre-16F)","LGBTS"
"Lesbian, Gay, Bisexual, Transgender, and Queer Studies","LGBTQS"
"Life Sciences","LIFESCI"
"American Sign Language","ASL"
"Linguistics","LING"
"Swahili","SWAHILI"
"International Exchange Program","IEP"
"Management","MGMT"
"Management-Executive MBA","MGMTEX"
"Management-Full-Time MBA","MGMTFT"
"Management-Fully Employed MBA","MGMTFE"
"Management-Global Executive MBA Asia Pacific","MGMTGEX"
"Management-Master of Financial Engineering","MGMTMFE"
"Management-Master of Science in Business Analytics","MGMTMSA"
"Management-PhD","MGMTPHD"
"Materials Science and Engineering","MAT SCI"
"Mathematics","MATH"
"Program in Computing","COMPTNG"
"Mechanical and Aerospace Engineering","MECH&AE"
"Medicine","MED"
"Microbiology, Immunology, and Molecular Genetics","MIMG"
"Military Science","MIL SCI"
"Molecular and Medical Pharmacology","M PHARM"
"Molecular Biology","MOL BIO"
"Molecular Toxicology","MOL TOX"
"Molecular, Cell, and Developmental Biology","MCD BIO"
"Molecular, Cellular, and Integrative Physiology","MC&IP"
"Moving Image Archive Studies (pre-16F)","MIA STD"
"Music (pre-16F)","MUSIC"
"Music","MUSC"
"Music Industry (pre-16F)","MUS IND"
"Music Industry","MSC IND"
"Music History (pre-16F)","MUS HST"
"Music History","MSC HST"
"Musicology (pre-16F)","MUSCLGY"
"Musicology","MUSCLG"
"Naval Science","NAV SCI"
"Ancient Near East","AN N EA"
"Arabic","ARABIC"
"Armenian","ARMENIA"
"Hebrew","HEBREW"
"Iranian","IRANIAN"
"Islamic Studies","ISLM ST"
"Jewish Studies","JEWISH"
"Middle Eastern Studies","M E STD"
"Near Eastern Languages","NR EAST"
"Semitic","SEMITIC"
"Turkic Languages","TURKIC"
"Medical History","MED HIS"
"Neurobiology","NEURBIO"
"Neurology","NEURLGY"
"Neuroscience (undergraduate)","NEUROSC"
"Neuroscience (Graduate)","NEURO"
"Neurosurgery","NEURSGY"
"No Equivalent UCLA Department for Transfer Courses","NONDEPT"
"Nursing","NURSING"
"Obstetrics and Gynecology","OBGYN"
"Ophthalmology","OPTH"
"Orthopaedic Surgery","ORTHPDC"
"Pathology and Laboratory Medicine","PATH"
"Pediatrics","PEDS"
"Philosophy","PHILOS"
"Astronomy","ASTR"
"Physics","PHYSICS"
"Physics and Biology in Medicine","PBMED"
"Physiology","PHYSIOL"
"Political Science","POL SCI"
"Psychiatry and Biobehavioral Sciences","PSYCTRY"
"Psychology","PSYCH"
"Public Affairs","PUB AFF"
"Public Health","PUB HLT"
"Public Policy","PUB PLC"
"Radiation Oncology","RAD ONC"
"Religion, Study of","RELIGN"
"Scandinavian","SCAND"
"Science Education","SCI EDU"
"Bulgarian","BULGR"
"Central and East European Studies","C&EE ST"
"Czech","CZCH"
"Hungarian","HNGAR"
"Lithuanian","LTHUAN"
"Polish","POLSH"
"Romanian","ROMANIA"
"Russian","RUSSN"
"Serbian/Croatian","SRB CRO"
"Slavic","SLAVC"
"Ukrainian","UKRN"
"Social Science","SOC SC"
"Social Thought","SOC THT"
"Social Welfare","SOC WLF"
"Society and Genetics","SOC GEN"
"Sociology","SOCIOL"
"Indigenous Languages of the Americas","IL AMER"
"Portuguese","PORTGSE"
"Spanish","SPAN"
"Statistics","STATS"
"Summer Sessions","SUMMER"
"Surgery","SURGERY"
"Theater","THEATER"
"University Studies","UNIV ST"
"Urban Planning","URBN PL"
"Urology","UROLOGY"
"Arts Education","ARTS ED"
"Dance","DANCE"
"World Arts and Cultures","WL ARTS"
"English as a Second Language","ESL"
"English Composition","ENGCOMP"
